"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","ms-section","tablescraper-selected-row 6","tablescraper-selected-row 7"
"103.178.94.107","80","HTTP","Desconocido","Elite","515ms","50.9%","2 meses"
"102.132.33.150","8080","HTTP","Sudáfrica","Elite","765ms","47.2%","15 minutos"
"78.47.186.43","6666","HTTP","Alemania","Anónimo","16ms","80%","6 months"
"192.111.134.10","4145","Socks5","Estados Unidos","Elite","1059ms","89.3%","25 minutos"
"20.157.194.61","80","HTTP","Estados Unidos","Elite","703ms","51.8%","6 minutos"
"35.245.31.182","8585","HTTP","Estados Unidos","Anónimo","361ms","100%","7 months"
"103.118.78.194","80","HTTP","Bangladesh","Elite","345ms","86.5%","7 months"
"201.91.82.155","3128","HTTP","Brasil","Anónimo","2012ms","49.7%","8 minutos"
"120.236.67.189","9002","HTTP","China","Elite","1865ms","34.5%","7 minutos"
"180.242.248.99","8080","HTTP","Indonesia","Anónimo","2423ms","43.8%","14 días"
"188.136.154.52","7060","HTTP","Irán","Anónimo","1323ms","55.6%","5 meses"
"198.49.68.80","80","HTTP","Estados Unidos","Elite","1534ms","76.7%","25 minutos"
"184.181.217.210","4145","Socks5","Estados Unidos","Elite","2976ms","85.1%","46 minutos"
"112.111.1.217","4430","HTTP","China","Anónimo","4155ms","34.4%","8 minutos"
"120.82.174.128","9091","HTTP","China","Elite","5716ms","89.1%","24 minutos"
"222.138.76.6","9002","HTTP","China","Elite","991ms","83.4%","12 minutos"
"174.77.111.197","4145","Socks5","Estados Unidos","Elite","1975ms","71.4%","35 minutos"
"103.49.202.252","80","HTTP","Bangladesh","Elite","7645ms","86.3%","6 months"
"72.221.171.130","4145","Socks4","Estados Unidos","Elite","9046ms","93.7%","4 meses"
"47.93.52.36","3129","HTTP","China","Elite","4513ms","66.7%","8 minutos"
"179.53.250.19","3128","HTTP","República Dominicana","Anónimo","705ms","70.6%","5 meses"
"206.233.177.254","80","HTTP","Estados Unidos","Anónimo","4789ms","36.9%","3 meses"
"198.8.94.170","4145","Socks4","Estados Unidos","Elite","707ms","82.7%","9 minutos"
"186.121.235.66","8080","HTTP","Bolivia","Anónimo","1364ms","79.9%","6 minutos"
"108.181.172.80","1981","Socks5","Canadá","Elite","1394ms","84.7%","26 días"
"68.1.210.189","4145","Socks5","Estados Unidos","Elite","1947ms","92.8%","4 meses"
"45.224.148.117","999","HTTP","Ecuador","Anónimo","4187ms","33.7%","7 months"
"118.69.134.0","80","HTTP","Vietnam","Anónimo","8064ms","62.2%","13 minutos"
"142.54.229.249","4145","Socks4","Estados Unidos","Elite","811ms","89.5%","1 hora"
"34.86.64.245","8585","HTTP","Estados Unidos","Anónimo","9301ms","100%","7 months"
"138.68.60.8","8080","HTTP","Estados Unidos","Elite","635ms","51.4%","11 minutos"
"222.243.201.153","9992","HTTP","China","Elite","4868ms","43.9%","6 minutos"
"103.48.71.102","84","HTTP","India","Anónimo","4743ms","31.8%","8 minutos"
"104.200.135.46","4145","Socks5","Estados Unidos","Elite","1019ms","88.9%","8 minutos"
"103.123.8.46","80","HTTP","Bangladesh","Elite","500ms","60.8%","12 minutos"
"212.108.155.205","9090","HTTP","Turquía","Elite","306ms","43.6%","6 minutos"
"5.180.254.9","80","HTTP","Desconocido","Elite","4ms","68.9%","27 días"
"198.8.94.170","4145","Socks5","Estados Unidos","Elite","856ms","72.9%","9 minutos"
"67.201.59.70","4145","Socks5","Estados Unidos","Elite","979ms","91.9%","27 minutos"
"192.111.138.29","4145","Socks5","Estados Unidos","Elite","860ms","74.6%","22 días"
"45.225.207.180","999","HTTP","Chile","Anónimo","8905ms","36.9%","2 meses"
"43.156.0.125","8888","HTTP","Japón","Elite","1130ms","58.3%","7 minutos"
"72.210.221.223","4145","Socks4","Estados Unidos","Elite","788ms","94.2%","11 minutos"
"47.56.110.204","8989","HTTP","Estados Unidos","Elite","915ms","58.7%","13 minutos"
"74.119.147.209","4145","Socks5","Estados Unidos","Elite","835ms","92.5%","29 minutos"
"175.24.214.128","80","HTTP","China","Elite","964ms","87.8%","57 minutos"
"198.8.84.3","4145","Socks5","Estados Unidos","Elite","1123ms","89.2%","6 months"
"182.48.204.35","8080","HTTP","India","Anónimo","5886ms","30.6%","6 months"
"111.20.217.178","9091","HTTP","China","Elite","2087ms","93.3%","30 minutos"
"183.230.162.122","9091","HTTP","China","Elite","1018ms","80.7%","12 minutos"
"98.170.57.231","4145","Socks4","Estados Unidos","Elite","818ms","89%","24 minutos"
"72.195.34.41","4145","Socks4","Estados Unidos","Elite","800ms","85.4%","31 minutos"
"106.14.255.124","80","HTTP","China","Elite","8233ms","77.4%","8 minutos"
"34.162.135.2","8585","HTTP","Estados Unidos","Anónimo","384ms","100%","7 months"
"162.212.157.238","8080","HTTP","Estados Unidos","Anónimo","335ms","93.7%","6 months"
"107.181.168.145","4145","Socks4","Estados Unidos","Elite","854ms","88.8%","43 minutos"
"115.127.88.138","8674","HTTP","Bangladesh","Anónimo","1436ms","50%","4 meses"
"197.243.67.96","80","HTTP","Ruanda","Anónimo","8194ms","76.7%","7 months"
"102.132.201.202","80","HTTP","Sudáfrica","Elite","347ms","84.6%","33 minutos"
"34.162.171.228","8585","HTTP","Estados Unidos","Anónimo","382ms","100%","7 months"
"120.244.86.67","1080","Socks5","China","Elite","2081ms","62%","6 minutos"
"116.96.16.56","1080","Socks5","Vietnam","Elite","1112ms","50%","3 meses"
"117.160.250.133","8899","HTTP","China","Elite","914ms","97.6%","46 minutos"
"103.23.37.138","80","HTTP","Afganistán","Elite","683ms","41.8%","20 días"
"200.71.109.105","999","HTTP","Desconocido","Anónimo","2373ms","65.1%","10 minutos"
"92.63.168.248","80","HTTP","Países Bajos","Anónimo","66ms","91.2%","5 meses"
